α_1,Α
α_1939,Ἀνησιδώρα
α_1940,Ἄνηστις
α_1941,Ἄννηττον
α_1942,Ἀνήχθημεν
α_1943,Ἀνῆψεν
α_1944,Ἀνθέμιον
α_1945,Ἀνθεμόεντα
α_1946,Ἄνθεια
α_1947,Ἀνθεμόκριτος
α_1948,Ἀνθεῖν κακοῖς
α_1949,Ἀνθεμόστρωτον
α_1950,Ἀνθεμόρρυτον
α_1951,Ἀνθέξεται
α_1952,Ἀνθερεών
α_1953,Ἀνθέρικες
α_1954,Ἀνθερίκων
α_1955,Ἀνθεστηριών
α_1956,Ἀνθέων
α_1957,Ἀνθήλιος
α_1958,Ἀνθῃρημένος
α_1959,Ἄνθης
α_1960,Ἀνθηρὸς ποιητής, ἢ κιθαρῳδός, ἢ ᾠδὸς
α_1961,Ἀνθηρόν
α_1962,Ἄνθινον
α_1963,Ἀνθίσασθαι μουσικῆς καὶ ἠνθισμένοι μουσικῆς
α_1964,Ἀνθοσμίας
α_1965,Ἄνθος
α_1966,Ἀνθ’ ὅτου
α_1967,Ἀνθοφορηθέντος
α_1968,Ἄνθρακες ὁ θησαυρὸς ἦσαν
α_1969,Ἀνθράκιον
α_1970,Ἀνθρήνη
α_1971,Ἄνθροισκα
α_1972,Ἄνθρηκον
α_1973,Ἀνθιππασία
α_1974,Ἄνθρωπος πρόδοξος
α_1975,Ἄνθρωπος λυπησίλογος
α_1976,Ἄνθρωπος Εὔριπος, τύχη Εὔριπος, διάνοια Εὔριπος
α_1977,Ἄνθρωπος ἀποφράς
α_1978,Ἄνθρωπος ἐξ ὁδοῦ
α_1979,Ἄνθρωπος φιλοπραγματίας
α_1980,Ἄνθρωπος οὐ σεμνός
α_1981,Ἀνθρωποειδὲς θηρίον
α_1982,Ἀνθρωπικὴ παρασκευή
α_1983,Ἀνθρωπικὸς μῦθος
α_1984,Ἀνθρωπάριον
α_1985,Ἀνθρώπειον σῶμα
α_1986,Ἀνθρωπῆ
α_1987,Ἀνθρωποειδέα θεόν
α_1988,Ἀνθρωποκτόνος
α_1989,Ἀνθρωπιστί
α_1990,Ἀνθυπουργῆσαι
α_1991,†Ἀνθυπωμοσία†
α_1992,Ἀνίατον
α_1993,Ἀνίει τὰ ἀγαθά
α_1994,Ἀνιαθείς
α_1995,Ἀνιαρόν
α_1996,Ἀνίδρυτοι
α_1997,Ἀνίδρυτο<ν>
α_1998,Ἀνιείς
α_1999,Ἀνιεμένη
α_2000,Ἀνιέντα
α_2001,Ἀνιέρειος
α_2002,Ἀνιερώσαντες
α_2003,Ἀνιλλομένη
α_2004,Ἀνικμώμενα
α_2005,Ἀνιμᾶσθαι
α_2006,Ἄνιππος
α_2007,Ἀνίπτοις ποσίν
α_2008,Ἀνίστη
α_2009,Ἀνίστω
α_2010,†Ἄνισιν†
α_2011,Ἀνισοφυές
α_2012,Ἀνιστάμεναι
α_2013,Ἀνίσχουσα
α_2014,Ἀνίσχων
α_2015,Ἂν μὴ λεοντῆ <γ’> ἐξίκηται, {τὴν} ἀλωπεκῆν πρόσαψον
α_2016,Ἀνο<μ>βροῦσαι
α_2017,Ἀνόδοντον
α_2018,Ἀνόθευτον
α_2019,Ἀνόητα, εἰ τοῦτο ἐπιτάξεις
α_2020,Ἀνοητίαν
α_2021,Ἀνοίγειἀνοιγνύει
α_2022,Ἀνοιγομένοις τοῖς κτήνεσιν
α_2023,Ἄνοις
α_2024,Ἀνοίσω
α_2025,Ἀνοιμώξομαι
α_2026,Ἀνοισθησόμεθα
α_2027,Ἀνόκαιον
α_2028,Ἀνοκωχήν
α_2029,Ἀν’ ὅμιλον
α_2030,Ἀνομολογήσασθαι
α_2031,Ἄνομον κατηγορίαν
α_2032,Ἄνοπλοι
α_2033,Ἀνόνητα
α_2034,Ἀνοργίας
α_2035,Ἄνοργοι
α_2036,Ἀνοργιάστοις
α_2037,Ἀνορταλίζειν
α_2038,Ἀνόσιον
α_2039,Ἄνοργον
α_2040,Ἀνόρεος πόλεμος
α_2041,Ἀνοσήλευτον
α_2042,<Ἄ>νους
α_2043,Ἀνοψία
α_2044,Ἀντανάκλασιν
α_2045,Ἀντακαῖος
α_2046,Ἀντα<να>γνῶναι
α_2047,Ἀντάλλαγον
α_2048,†Ἀντάλλεος†
α_2049,Ἀνταπαιτῆσαι καὶ ἀπαιτῆσαι
α_2050,Ἀντεγράψατο
α_2051,Ἀνταναίρει<ν>
α_2052,Ἀνταίρειν
α_2053,Ἀνταγωνιστής
α_2054,Ἀνταγοράζειν
α_2055,Ἀνταποκτεῖναι
α_2056,Ἀνταρκεῖν
α_2057,Ἀνταποπαίζειν
α_2058,Ἀνταυγὲς κάλλος
α_2059,Ἀνταυγεῖς κόρας
α_2060,Ἀντασπάζομαι
α_2061,Ἀνταναιρεῖταί σοι ὅπλα
α_2062,Ἀνταμυνόμενος
α_2063,Ἀνταποδοῦναι
α_2064,Ἀνταποδίδως
α_2065,Ἀνταπολαμβάνειν
α_2066,Ἀντάκουε
α_2067,Ἀντεπιτίθησιν
α_2068,Ἀντερείδει
α_2069,Ἀντετόρησεν
α_2070,Ἀντεφέροντο
α_2071,Ἀντεύφρασμα
α_2072,Ἀντεφιλοτιμοῦντο
α_2073,Ἀντέχει
α_2074,Ἀντεχόμενος
α_2075,Ἀντήλιος
α_2076,Ἀντηρέτης
α_2077,Ἀντιάζει
α_2078,Ἀντιάτας
α_2079,Ἀντιβληθέντος
α_2080,Ἀντιβολῆσαι
α_2081,Ἀντιβόλησις
α_2082,Ἀντιγενίδας
α_2083,Ἀντιβολία
α_2084,Ἀντιβλέπει
α_2085,Ἀντιβαίνει
α_2086,Ἀντιγνωμονεῖν
α_2087,Ἀντιγονίς
α_2088,Ἀντιγραφή
α_2089,Ἀντιγραφεύς
α_2090,<Ἀντιγραφή>
α_2091,Ἀντίγραφοι διαθῆκαι
α_2092,Ἀντιδιαστέλλεται
α_2093,Ἀντιδοίην κἂν ἐμαυτὸν τῷδε πράξας εὐθέτως
α_2094,Ἀντίδοσις
α_2095,Ἀντιδικουμένου καὶ ἀντιδικούμενον
α_2096,Ἀντιδικοῦμεν
α_2097,Ἀντιδικεῖν
α_2098,Ἀντίδουπα
α_2099,Ἀντιδιέξειμι
α_2100,Ἀντίθεσις
α_2101,Ἀντίθετον
α_2102,Ἀντίθετα
α_2103,Ἀντικάθηται
α_2104,Ἀντικρύ
α_2105,Ἀντικόπτειν
α_2106,Ἀντικαταλαβεῖν
α_2107,Ἀντίκρισις
α_2108,Ἀντικρύ
α_2109,Ἄντικρυς
α_2110,Ἄντικρυς
α_2111,Ἀντίκυρα
α_2112,Ἀντίπαλος
α_2113,Ἀντίπαις
α_2114,Ἀντιλαβή
α_2115,Ἀντιλαμβάνεσθαι
α_2116,Ἀντιλογίαι
α_2117,Ἀντιλέγειν
α_2118,Ἀντίληψις
α_2119,Ἀντιλογιῶν
α_2120,Ἀντίπαλον
α_2121,Ἀντιπαρεξάγειν
α_2122,Ἀντιπεπονθότως
α_2123,Ἀντιπροκλήσεις
α_2124,Ἀντία
α_2125,Ἄντλος
α_2126,Ἄντλιον
α_2127,Ἀντλητήρ
α_2128,Ἀντλία
α_2129,Ἀντλιαντλητῆρας
α_2130,Ἀντίρροπον
α_2131,Ἀντιστρόφους
α_2132,Ἀντιτορήσας
α_2133,Ἀντιτυπῆσαι
α_2134,Ἀντιτυπία
α_2135,Ἀντιοχίς
α_2136,Ἄντισσα
α_2137,Ἀντιτύπους ἀνθρώπους
α_2138,Ἀντιφέρονται
α_2139,Ἀντιφιλοτιμεῖ
α_2140,Ἀντίφης
α_2141,Ἀντόμενοι
α_2142,Ἄντρα νύχια
α_2143,Ἀντρώδη
α_2144,Ἀντρῶνες
α_2145,Ἀντρώνιος ὄνος
α_2146,Ἄντυγες
α_2147,Ἄντυξ
α_2148,Ἀντωπεῖ
α_2149,Ἀντωπός
α_2150,Ἀντωμοσία
α_2151,Ἀνύτειν
α_2152,Ἀνυδρεύσασθαι
α_2153,Ἄνυδρα δάπεδα
α_2154,Ἀνυμεναιοῦν
α_2155,Ἀνυποδησία
α_2156,Ἀνυπόστατον
α_2157,Ἀνυπαίτιος
α_2158,Ἀνυπόβλητον
α_2159,Ἀνύποιστον
α_2160,Ἀνυπόδητος
α_2161,Ἀνυπεύθυνος
α_2162,Ἄνυμφον
α_2163,ἈνυσίμωςἈνύ<του>σι
α_2164,Ἁνύσαι
α_2165,Ἄνω καὶ κάτω
α_2166,Ἀνῴμωξεν
α_2167,†Ἀνωρθρίαζον†
α_2168,Ἄνω ποταμῶν ῥέουσι πηγαί
α_2169,Ἀνωφέλητος ἄνθρωπος
α_2170,Ἀνῳκισμένος
α_2171,Ἀνόνητον
α_2172,Ἀξιαπηγητότατον
α_2173,Ἀξιοῖ
α_2174,Ἄξιον
α_2175,Ἀξιόπιστος
α_2176,Ἀξιόχρεων
α_2177,Ἄξιον
α_2178,Ἄξιος θέας
α_2179,Ἀξιάγαστος
α_2180,Ἀξιέραστος
α_2181,Ἄξιος οὐδὲ <ἑνὸς> μόνου
α_2182,Ἀξιῶν
α_2183,Ἄξονες
α_2184,Ἀξύμβλητον
α_2185,Ἀξύλῳ
α_2186,†Ἀξόνητον†
α_2187,Ἀοζήσω
α_2188,Ἀοιδή
α_2189,Ἄοζος
α_2190,Ἀοίδιμος
α_2191,Ἀοιδός
α_2192,Ἄοινος
α_2193,Ἀολλεῖ
α_2194,Ἀολλεῖς
α_2195,Ἀορτά
α_2196,Ἄοπτα
α_2197,Ἄορι
α_2198,Ἀπάγειν, ἐφηγεῖσθαι, γράφεσθαι, δικάζεσθαι
α_2199,Ἄπαγε ξένον ἐν χειμῶνι
α_2200,Ἄπαγε
α_2201,Ἄπαγε
α_2202,Ἀπάγου
α_2203,Ἀπαγκωνισάμενος
α_2204,Ἀπαγγελτῆρα
α_2205,Ἀπαγορεύειν
α_2206,Ἀπαγορεύει
α_2207,Ἀπαγωγάς
α_2208,Ἀπαγωγή
α_2209,Ἀπαγωγή
α_2210,Ἀπᾷδον
α_2211,Ἀπαίδευτοι
α_2212,Ἀπαιδοτρίβητοι
α_2213,Ἀπαιδοτρίβητον σῶμα
α_2214,Ἀπαιδία
α_2215,Ἀπαιόλη
α_2216,Ἀπαιόλημα
α_2217,Ἀπαιολᾷ
α_2218,Ἀπαίροντες
α_2219,Ἄπαιρε
α_2220,Ἀπαίρειν
α_2221,Ἀπαίσιον
α_2222,Ἀπαιώνιστον
α_2223,Ἀπαιωρούμενον
α_2224,Ἀπάλαμνος
α_2225,Ἀπάλαμνον
α_2226,Ἀπαλάμνως
α_2227,Ἀπαλεξῆσαι
α_2228,Ἀπαλεξήσοντες
α_2229,Ἁπαλοὶ θερμολουσίαις, ἁβροὶ μαλθακευνίαις
α_2230,Ἀπαλλάξωμεν
α_2231,Ἀπαλλάξας
α_2232,Ἀπάλλεις
α_2233,Ἀπαλεῖ
α_2234,Ἁπαλὸς εἴσπλους {τοῦ} λιμένος
α_2235,Ἁπαλοσώματος
α_2236,Ἁπαλύνειν
α_2237,Ἁπαλὴ δίαιτα
α_2238,Ἁπαλά
α_2239,Ἀπάλλαξόν με φροντίδων
α_2240,Ἀπαμβρακοῦ
α_2241,Ἀπαμβλύνει
α_2242,Ἀπαμυνεῖ
α_2243,Ἀπαμφιέσαντες
α_2244,Ἀπαμφίσκων
α_2245,Ἀπαμφιεῖ
α_2246,Ἀ<πα>νάστασις
α_2247,Ἀπαντᾶνσυναντᾶν
α_2248,Ἅπανθ’ ὅμοια καὶ Ῥοδῶπις ἡ καλή
α_2249,Ἀπανθίζειν
α_2250,Ἅπαν
α_2251,Ἀπαντᾶν
α_2252,Ἀπάντησις
α_2253,Ἁπανταχῇ
α_2254,Ἀπάξω
α_2255,Ἁπαξαπλῶς
α_2256,Ἁπαξάπαντα
α_2257,Ἀπαράβλητος
α_2258,Ἀπαραπόδιστον
α_2259,Ἀπαραποίητον
α_2260,Ἀπαριθμῶν
α_2261,Ἀπάργματα
α_2262,Ἀπαρθένευτος
α_2263,Ἄπαρνος
α_2264,Ἀπαρτίαν
α_2265,Ἀπαρκτίας
α_2266,Ἀπαραίτητος καὶ ἄπιστος πρὸς δωροδοκίαν
α_2267,Ἀπαρτί
α_2268,<Ἀπαρτί>
α_2269,<Ἀπαρτία· ***>
α_2270,Ἀπαρτί
α_2271,Ἀπαρτᾶν
α_2272,Ἀπ’ ἀρχῆς εἰς τέλος
α_2273,Ἀπάρχεσθαι
α_2274,Ἀπαρηγόρητος ὀργή
α_2275,Ἀπάρχου
α_2276,†Ἀπαίσιον†
α_2277,Ἅπασαν τὴν οὐσίαν ἠμφίασται
α_2278,Ἀπασκαρίζει
α_2279,Ἀπαστία
α_2280,Ἀπατηλός
α_2281,Ἀπατήσει
α_2282,Ἀπατούρια
α_2283,Ἀπάτωρ
α_2284,Ἀπάτριοι
α_2285,Ἀπαυδῶ
α_2286,Ἀπαυθαδιάζοντας
α_2287,Ἀπαυλία
α_2288,Ἀπαυστί
α_2289,Ἀπαυτοματισθεῖσα
α_2290,Ἀπαυτομολῆσαι
α_2291,Ἀπαυχενίζειν
α_2292,Ἀπεγένετο
α_2293,Ἀπεβίω
α_2294,Ἀπέδοξεν
α_2295,Ἀπέδειξεν
α_2296,Ἀπέγνωσαν
α_2297,Ἀπεδημηκότες
α_2298,Ἀπεγνωκώς
α_2299,Ἀπέδοτο
α_2300,Ἀπέδοσθε
α_2301,Ἀπέγραψε τὸν καιρόν
α_2302,Ἀπεδήδοκεν
α_2303,Ἀπειλεῖταί μοι
α_2304,Ἀπειρόκαλος
α_2305,Ἀπειροκαλία
α_2306,Ἀπειρία
α_2307,Ἄπειρον
α_2308,Ἄπεδον
α_2309,Ἀπέδρα
α_2310,Ἀπεθέρισεν
α_2311,Ἀπειθεῖν
α_2312,Ἀπεικός
α_2313,Ἄπει
α_2314,Ἀπειλῶν
α_2315,Ἀπειπεῖν
α_2316,Ἀπειπεῖν
α_2317,Ἀπειργάσθαι
α_2318,Ἀπείργων
α_2319,Ἀπειρέσια
α_2320,Ἀπείρηκα
α_2321,Ἄπεισιν
α_2322,Ἀπείσομαι
α_2323,Ἀπέκιξαν
α_2324,Ἀπεκομίσθη
α_2325,Ἀπεκρίθη
α_2326,Ἀπέκτητον
α_2327,Ἀπέλα
α_2328,Ἀπελεύθερος
α_2329,Ἀπέλητοι
α_2330,Ἀπέλθῃ
α_2331,Ἀπ’ ἐλπίδος σφαλῆναι καλῆς
α_2332,Ἀπέλιπεν
α_2333,Ἀπελυμαίνοντο
α_2334,Ἀπεμόρξατο
α_2335,Ἀπεμύλλαινον
α_2336,Ἀπεμπολή
α_2337,Ἀπεμφαίνει
α_2338,Ἀπεμπολήσας
α_2339,Ἀπεμυθήσω
α_2340,Ἀπενήσω
α_2341,Ἀπενεγκεῖν γραφήν
α_2342,Ἀπενεγκάμενος
α_2343,Ἀπενιαυτῆσαι
α_2344,Ἀπεξεσμένον
α_2345,Ἀπεοικός
α_2346,Ἀπέραντον
α_2347,Ἀπερράπισεν
α_2348,Ἀπεργάσασθαι
α_2349,Ἀπέρεισιν
α_2350,Ἀπεργασάμενος
α_2351,Ἀπερρήσεις
α_2352,Ἀπερίβλεπτον
α_2353,Ἀπερίγραπτον
α_2354,Ἀπερίγραπτοι
α_2355,Ἀπερίοπτος
α_2356,Ἀπερρέθη
α_2357,Ἀπερρωγότες
α_2358,Ἀπέσβη
α_2359,Ἀπεσείσατο
α_2360,Ἀπεσιγάλωσεν
α_2361,Ἀπεσκῆ
α_2362,Ἀπεσκόλυπτεν
α_2363,Ἀπεσκοτωμένα
α_2364,Ἀπεσσύα
α_2365,Ἀπεσκελετεύθη
α_2366,Ἀπεσκληκώς
α_2367,Ἀπεστλεγγισμένον
α_2368,Ἀπεσταλμένην καὶ πεπεμμένην
α_2369,Ἄπεστιν
α_2370,Ἀπεστομάτισαν
α_2371,Ἀπέσφηλεν
α_2372,Ἀπεσφακέλισεν
α_2373,Ἀπέσχαζεν
α_2374,Ἀπεσχεδιάζετο
α_2375,Ἀπεσχοινισμένος
α_2376,Ἀπετείχιζον
α_2377,Ἀπετίννυον
α_2378,Ἀπετίμησεν καὶ ἀποτίμησις καὶ ἀποτίμημα
α_2379,Ἀπετύλουν
α_2380,Ἀπέτισα
α_2381,†Ἀπεύρα†
α_2382,Ἀπέφησεν
α_2383,Ἀπευθύνει
α_2384,Ἀπευκτόν
α_2385,Ἀπευήκασιν
α_2386,†Ἀπεφρούρησαν†
α_2387,Ἀπέφρησαν
α_2388,Ἄπεφθον χρυσίον
α_2389,Ἀπεχρᾶτο
α_2390,Ἀπεχρήσαντο
α_2391,Ἀπεχθάνοντο
α_2392,Ἀπεχοιρίασεν
α_2393,Ἀπέχθεια
α_2394,Ἀπεχθής
α_2395,Ἀπεχρήσατο
α_2396,Ἀπέχρησεν
α_2397,Ἀπεώσατο
α_2398,Ἀπεωσμένον
α_2399,Ἀπέωστο
α_2400,†Ἀπεωρούμενον†
α_2401,Ἀπηγορήσομαι
α_2402,Ἀπηδέσθη
α_2403,Ἀπῃθάλωται
α_2404,Ἄπηλα πεδία <καὶ> ἄπηλος ὁδὸς
α_2405,Ἀπηλγηκότες
α_2406,Ἀπηλλάγησαν
α_2407,Ἀπηλιώτης
α_2408,Ἀπηλοημένος
α_2409,Ἀπήμαντον
α_2410,Ἀπημείφθη
α_2411,Ἀπήμονα
α_2412,Ἀπηνέμους
α_2413,Ἀπηνέστερον
α_2414,Ἀπηνήναντο
α_2415,Ἀπηνές
α_2416,Ἀπήνθισται
α_2417,Ἀπῇξεν
α_2418,Ἀπηρείσατο
α_2419,Ἀπηρτημένας
α_2420,†Ἄπηστα†
α_2421,Ἀπηχές
α_2422,Ἀπήχεια
α_2423,Ἀπηχημένον
α_2424,Ἀπήχθετο
α_2425,Ἀπηχθημένον
α_2426,Ἀπηχθισμένον
α_2427,†Ἀπηχθῦς†
α_2428,Ἀπίθανον
α_2429,Ἄπιθι
α_2430,Ἀπίους
α_2431,Ἀπιστεῖν
α_2432,Ἄπιστος
α_2433,Ἀπιὼν ᾤχετο
α_2434,Ἄπλαστος
α_2435,Ἁπλᾶς
α_2436,Ἁπλᾶ καὶ διπλᾶ καὶ πολλαπλᾶ
α_2437,Ἀπλάκητον
α_2438,Ἄπλετον
α_2439,Ἁπλοΐς
α_2440,Ἁπλοΐδας
α_2441,Ἁπλήγιος
α_2442,Ἁπληγίς
α_2443,Ἄπλοοι
α_2444,Ἄπλυτον πώγωνα
α_2445,Ἄπλωτον
α_2446,Ἄπο
α_2447,Ἀποβαδίζειν
α_2448,Ἀπόβαθρα
α_2449,Ἀποβάτης καὶ ἀποβαίνειν καὶ ἀποβατικοὶ τροχοί
α_2450,Ἀποβατῶν ἀγών
α_2451,Ἀποβολεὺς ὅπλων
α_2452,Ἀπόβλεπτον
α_2453,Ἀποβλεπόμενοι
α_2454,Ἀποβλίσαι
α_2455,Ἀποβλύζων
α_2456,Ἀποβουκολήσας
α_2457,Ἀποβρίξαι
α_2458,Ἀποβροχθίσαι
α_2459,Ἀποβύσαντες
α_2460,Ἀπογενέσθαι
α_2461,Ἀπογνούς
α_2462,Ἀπογραφὴ καὶ ἀπογράψαι
α_2463,Ἀπὸ γλώττης
α_2464,Ἀπόγνοια
α_2465,Ἀπογνώμων
α_2466,Ἀπὸ γραμμῆς
α_2467,Ἀπογράφειν οὐσίαν
α_2468,Ἀπογραφή
α_2468a,ἀπογραφή
α_2469,Ἀπογράψαι
α_2470,Ἀποδάσσομαι
α_2471,Ἀποδακρύσας
α_2472,Ἀποδακρύομαι
α_2473,Ἄποδα θηρία
α_2474,Ἀποδαρθεῖν
α_2475,Ἀποδεῖξαι
α_2476,Ἀποδείξασθαι
α_2477,Ἀποδειροτομεῖ
α_2478,Ἀποδεόντων
α_2479,Ἀποδείκνυμί σοι χελιδόνα
α_2480,Ἀποδέκται
α_2480a,ἀποδέκται
α_2481,Ἀποδέχομαι
α_2482,Ἀποδικεῖν
α_2483,Ἀποδιοπομπεῖσθαι
α_2484,Ἀποδιδόμενοι
α_2485,Ἀπὸ δόξης
α_2486,Ἀποδόσθαι
α_2487,Ἀποδράς
α_2488,Ἀποδυσπετεῖ
α_2489,Ἀπόδυσαι
α_2490,Ἀπόζων
α_2491,Ἀποζέσαι τὸν θυμόν
α_2492,Ἀποθευσούμεθα
α_2493,†Ἀποθράξεις†
α_2494,Ἀποθεσπίσαι
α_2495,Ἀποθριάσαι
α_2496,Ἀποθρώσκοντα
α_2497,Ἀποθύμια
α_2498,Ἀποθήκην
α_2499,Ἀποικοδομεῖς
α_2500,Ἄποινα
α_2501,Ἀποίσετε
α_2502,Ἀποιχόμενα
α_2503,Ἄποκα
α_2504,Ἀποκαθεύδουσιν
α_2505,Ἀποκαραδοκία
α_2506,Ἀποκαρτερήσαντα
α_2507,Ἀποκαταλλάξαι
α_2508,Ἀποκεκρουμένον
α_2509,Ἀποκείλαντες
α_2510,Ἀποκεῖσθαι πόρρω
α_2511,Ἀποκηδήσαντες
α_2512,Ἀποκήρυκτον
α_2513,Ἀποκηρύττοντες
α_2514,Ἀποκείρασθαι καὶ κείρασθαι
α_2515,Ἀποκινεῖν
α_2516,Ἀπόκινος
α_2517,Ἀποκλήρωσις
α_2518,Ἀποκναίει
α_2519,Ἀπόκνιζε
α_2520,Ἀποκοπῆναι τῶν ἰχνῶν τὴν κύνα
α_2521,Ἀποκαλίσαι
α_2522,Ἀποκραιπαλισμός
α_2523,Ἀποκριθῆναι
α_2524,Ἀποκρίνασθαι
α_2525,Ἀποκριπάμενος
α_2526,Ἀποκριθείς
α_2527,Ἀπὸ καιροῦ, ἀπὸ τρόπου
α_2528,†Ἀποκρησάμενοι†
α_2529,Ἀπόκριμα
α_2530,Ἀποκρινεῖται
α_2531,Ἀπόκρισις
α_2532,Ἀποκρούεσθαι
α_2533,Ἀποκυβιστᾶν
α_2534,Ἀποκτίννυσι
α_2535,Ἀπολαύειν
α_2536,Ἀποκυηθέν
α_2537,Ἀπολαχεῖν
α_2538,Ἀπόλεμος
α_2539,Ἀπολέξαι καὶ ἀποστεῖλαι
α_2540,Ἀπολείπουσιν
α_2541,Ἀπόλειψις
α_2542,Ἀπόλεκτον
α_2543,Ἀπολελοιπότες
α_2544,Ἀπόληγε
α_2545,Ἀπολιβάξαι
α_2546,Ἀπολιβάξαι
α_2547,Ἀπολιταργίσαι
α_2548,Ἀπολοπίζειν
α_2549,Ἀπολογήσασθαι
α_2550,Ἀπόλλω καὶ ἀπόλλων<α>
α_2551,Ἀπολέγομαι
α_2552,Ἀπολλύειν καὶ ἀπολλύναι
α_2553,Ἀπολλώνιον
α_2554,Ἀπόλεμος χρόνος
α_2555,Ἀπόλεμος μοῦσα
α_2556,Ἀπολελεμμένος
α_2557,†Ἀπολώλει† τῷ φόβῳ
α_2558,Ἀπολλύασιν
α_2559,Ἀπόλωλα
α_2560,Ἀπὸ λύκου θήρας
α_2561,Ἀπώλεσας τὸν οἶνον ἐπιχέας ὕδωρ
α_2562,Ἀπομαγδαλία καὶ ἀπομαγδαλίς
α_2563,Ἀπομάγματα
α_2564,Ἀπόμακτρα †σκυταλῶν
α_2565,Ἀπομάττεσθαι
α_2566,Ἀπομάττων
α_2567,Ἀπομερμηρίξαι
α_2568,Ἀπομηνίσας
α_2569,Ἀπόμισθος
α_2570,Ἀπόμισθοι
α_2571,Ἀπὸ μισθωμάτων θύειν
α_2572,Ἀπομόρξαι
α_2573,Ἀπομορξάμενον
α_2574,Ἀπόμορφα
α_2575,Ἀπομορχθείς
α_2576,Ἀπομόσαι καὶ κατομόσαι
α_2577,Ἀπόμυκτον
α_2578,Ἀπομυξίας
α_2579,Ἀπομύττειν
α_2580,Ἀπόν
α_2581,Ἀπόνασθαι
α_2582,†Ἀπόναται†
α_2583,†Ἀπόνειμαι†
α_2584,Ἀπονενοημένος
α_2585,†Ἀπονηθήσεται†
α_2586,Ἀπονητί, ἀπνευστί, ἀνιδρωτί, ἀκμητί, ἀμεταστρεπτί
α_2587,Ἀπόνοια
α_2588,Ἀπονίψασθαι
α_2589,Ἀπονομή
α_2590,Ἀπ’ ὄνου καταπεσών
α_2591,Ἀπονοστήσει
α_2592,Ἀπονοσφίζεσθαι
α_2593,Ἀπονησαμένη
α_2594,Ἀπόνιπτρον
α_2595,Ἀπονυχίζεσθαι καὶ ὀνυχίζειν καὶ ἐξονυχίζειν
α_2596,Ἀπονυχιοῦμαι
α_2597,Ἀποξενωθέντα
α_2598,Ἀποξενοῦσθαι
α_2599,Ἀποξένοισιν
α_2600,Ἀποξύονται
α_2601,Ἀπόπατον
α_2602,Ἀποπάτημα
α_2603,Ἀποπερατοῦσαν
α_2604,Ἀποπεφασμένον
α_2605,Ἀποπεφοίτηκεν
α_2606,Ἀποπληξία
α_2607,Ἀποπομπή
α_2608,Ἀποπομπαῖοι
α_2609,Ἀποπρεσβεύει
α_2610,Ἀποπροσωπίζεσθαι
α_2611,Ἀπὸ πρώτης
α_2612,Ἄποπτον
α_2613,Ἀποπυρίας
α_2614,Ἀποπυριάζων
α_2615,Ἀπορέξαι
α_2616,Ἀπορεῖν καὶ σφακελίζειν τῷ δεινῷ
α_2617,Ἀπορρέξαντες
α_2618,Ἀπόρρησιν
α_2619,Ἀπόρρητα
α_2620,Ἀπορροῆς
α_2621,†Ἀπορρυή†
α_2622,†Ἀπορρύει
α_2623,Ἀπορρῶγας
α_2624,Ἀπορρώξ
α_2625,Ἄπορος χώρα
α_2626,Ἀπορησία
α_2627,Ἀπορώτατος
α_2628,Ἀπορρηθῇ
α_2629,Ἀποσαλεῦσαι καὶ ἀποσαλεύειν
α_2630,Ἀποσεμνύνει
α_2631,<Ἀ>ποσάξαντες
α_2632,Ἀποσημήνασθαι
α_2633,Ἀπόσιτος
α_2634,Ἀποσκευαζόμενος
α_2635,Ἀποσκευάζοντες
α_2636,Ἀποσιμῶσαι
α_2637,Ἀποσεσύκασται
α_2638,Ἀποσκολύψαι
α_2639,Ἀπόστασις
α_2640,Ἀποστασίου καὶ ἀπροστασίου
α_2640a,ἀποστασίου
α_2641,Ἀποστολαί
α_2642,Ἀποσοβεῖ
α_2643,Ἀποσοβῶμεν
α_2644,Ἀποστήσασθαι
α_2645,Ἀποσπουδάζων
α_2646,†Ἀποστήσονται†
α_2647,Ἀποστρακισθῆναι
α_2648,Ἀποστοματίζειν
α_2649,Ἀποστυγοῦντες
α_2650,Ἀποσκλαίη
α_2651,Ἀποσκλῆναι
α_2652,Ἀποσκελ<ετ>ευθῆναι καὶ ἀποτακῆναι
α_2653,Ἀποσκιρτᾷ
α_2654,Ἀπὸ σκοποῦ
α_2655,Ἀποσκοπεῖσθαι
α_2656,Ἀποσκευάσαι τὴν τράπεζαν
α_2657,Ἀποσκορακίζειν
α_2658,Ἀποσκυθίσαι
α_2659,Ἀπόστολος
α_2660,Ἀποστολεῖς
α_2661,Ἀποστησάμενον
α_2662,Ἀπόστοργον
α_2663,Ἀπὸ συμβόλων δικάζειν
α_2664,Ἀποστάσιον
α_2665,Ἀπόστα
α_2666,Ἀπὸ στόματος
α_2667,Ἀποστροφή
α_2668,Ἀποσυστῆσαι
α_2669,†Ἀποσφύδου†
α_2670,Ἀποσχεδιάσας
α_2671,Ἀπόσχῃ
α_2672,Ἀποσχῆναι
α_2673,Ἀποσχοινίσαντες
α_2674,Ἄπουργοι γωνίαι
α_2675,Ἀπόταξις
α_2676,Ἀπόταφος
α_2677,Ἀποτεθρίακεν
α_2678,Ἀποταμιεύεται
α_2679,Ἀποταυρούμενος
α_2680,Ἀποτεθρυωμένος
α_2681,Ἀποτείνεται
